"","Time","Well","OD600","Colony","Dose"
"368",525,"V5",0.449666666666667,"F","Wtsham"
"369",540,"V5",0.464916666666667,"F","Wtsham"
"370",555,"V5",0.491,"F","Wtsham"
"371",570,"V5",0.506333333333333,"F","Wtsham"
"372",585,"V5",0.526583333333333,"F","Wtsham"
"373",600,"V5",0.5525,"F","Wtsham"
"374",615,"V5",0.56625,"F","Wtsham"
"375",630,"V5",0.589166666666667,"F","Wtsham"
"376",645,"V5",0.607083333333333,"F","Wtsham"
"377",660,"V5",0.623666666666667,"F","Wtsham"
"378",675,"V5",0.644,"F","Wtsham"
"379",690,"V5",0.655916666666667,"F","Wtsham"
"380",705,"V5",0.675083333333333,"F","Wtsham"
"381",720,"V5",0.6845,"F","Wtsham"
"382",735,"V5",0.696333333333333,"F","Wtsham"
"383",750,"V5",0.711333333333333,"F","Wtsham"
"384",765,"V5",0.72425,"F","Wtsham"
"385",780,"V5",0.732416666666667,"F","Wtsham"
"386",795,"V5",0.734083333333333,"F","Wtsham"
"387",810,"V5",0.74925,"F","Wtsham"
"388",825,"V5",0.75825,"F","Wtsham"
"389",840,"V5",0.770416666666667,"F","Wtsham"
"390",855,"V5",0.776416666666667,"F","Wtsham"
"391",870,"V5",0.782916666666667,"F","Wtsham"
"392",885,"V5",0.7945,"F","Wtsham"
"393",900,"V5",0.802833333333333,"F","Wtsham"
"394",915,"V5",0.804916666666667,"F","Wtsham"
"395",930,"V5",0.814583333333333,"F","Wtsham"
"396",945,"V5",0.816833333333333,"F","Wtsham"
"397",960,"V5",0.829916666666667,"F","Wtsham"
"398",975,"V5",0.823166666666667,"F","Wtsham"
"399",990,"V5",0.840916666666667,"F","Wtsham"
"400",1005,"V5",0.84125,"F","Wtsham"
"401",1020,"V5",0.85,"F","Wtsham"
"402",1035,"V5",0.849083333333333,"F","Wtsham"
"403",1050,"V5",0.86,"F","Wtsham"
"404",1065,"V5",0.863,"F","Wtsham"
"405",1080,"V5",0.860166666666667,"F","Wtsham"
"406",1095,"V5",0.863583333333333,"F","Wtsham"
"407",1110,"V5",0.874333333333333,"F","Wtsham"
"408",1125,"V5",0.87875,"F","Wtsham"
"409",1140,"V5",0.881666666666667,"F","Wtsham"
"410",1155,"V5",0.886833333333333,"F","Wtsham"
"411",1170,"V5",0.889166666666667,"F","Wtsham"
"412",1185,"V5",0.894333333333333,"F","Wtsham"
"413",1200,"V5",0.895833333333333,"F","Wtsham"
"414",1215,"V5",0.899083333333333,"F","Wtsham"
"415",1230,"V5",0.902833333333333,"F","Wtsham"
"416",0,"V6",0.00758333333333334,"G","Wtsham"
"417",15,"V6",0.0145833333333333,"G","Wtsham"
"418",30,"V6",0.0145,"G","Wtsham"
"419",45,"V6",0.0135,"G","Wtsham"
"420",60,"V6",0.0173333333333333,"G","Wtsham"
"421",75,"V6",0.0215833333333333,"G","Wtsham"
"422",90,"V6",0.0235,"G","Wtsham"
"423",105,"V6",0.0289166666666667,"G","Wtsham"
"424",120,"V6",0.0329166666666667,"G","Wtsham"
"425",135,"V6",0.04025,"G","Wtsham"
"426",150,"V6",0.0475,"G","Wtsham"
"427",165,"V6",0.05175,"G","Wtsham"
"428",180,"V6",0.06575,"G","Wtsham"
"429",195,"V6",0.0725833333333333,"G","Wtsham"
"430",210,"V6",0.0815,"G","Wtsham"
"431",225,"V6",0.09625,"G","Wtsham"
"432",240,"V6",0.108916666666667,"G","Wtsham"
